gbifID,species,latitude,longitude
4022281532,Hylocomium splendens,51.222675,-121.488434
4022279659,Bryum argenteum,35.913942,-79.0477
4022277435,Plagiomnium cuspidatum,40.7523,-74.845313
4022277082,Hylocomium splendens,64.883344,-148.397135
4022277064,Hylocomium splendens,64.895858,-148.453067
4022276957,Hylocomium splendens,64.895344,-148.451976
4022276728,Hylocomium splendens,50.74122,-99.491617
4022273794,Hylocomium splendens,64.876372,-148.382603
4022273738,Hylocomium splendens,64.895219,-148.451535
4022273181,Hylocomium splendens,64.876026,-148.383174
4022273111,Syntrichia ruralis,44.003833,-122.967894
4022273057,Hylocomium splendens,64.895637,-148.453377
4022273054,Hylocomium splendens,64.895858,-148.453067
4022273050,Hylocomium splendens,64.876372,-148.382603
4022272873,Syntrichia ruralis,36.105506,-112.090333
4022272705,Hylocomium splendens,60.610842,-134.933835
4022272364,Syntrichia ruralis,32.861683,-105.91738
4022268676,Hylocomium splendens,64.88136,-148.393553
4022268657,Hylocomium splendens,64.89491,-148.450937
4022268378,Syntrichia ruralis,35.690658,-105.88983
4022268013,Hylocomium splendens,64.895344,-148.451976
4022268008,Hylocomium splendens,64.895637,-148.453377
4022268000,Hylocomium splendens,64.876452,-148.38304
4022267846,Syntrichia ruralis,35.165798,-106.446556
4022267689,Hylocomium splendens,45.549672,-78.638628
4022266308,Plagiomnium cuspidatum,41.297864,-76.277551
4022266104,Hylocomium splendens,64.876372,-148.382603
4022265005,Hylocomium splendens,64.895902,-148.452381
4022264897,Hylocomium splendens,64.876513,-148.382321
4022264427,Plagiomnium cuspidatum,39.881774,-86.301234
4022263334,Hylocomium splendens,42.80502,-79.987777
4022262991,Hylocomium splendens,64.89491,-148.450937
4022262928,Hylocomium splendens,64.882972,-148.397383
4022262728,Plagiomnium cuspidatum,40.890275,-73.89505
4022261662,Hylocomium splendens,64.883184,-148.397778
4022259583,Hylocomium splendens,64.876372,-148.382603
4022259563,Hylocomium splendens,64.876294,-148.382511
4022259553,Hylocomium splendens,64.881679,-148.391489
4022258172,Hylocomium splendens,63.888027,-142.244633
4022255526,Hylocomium splendens,64.875695,-148.382259
4022253512,Hylocomium splendens,64.883184,-148.397778
4022251696,Hylocomium splendens,64.89491,-148.450937
4022249003,Hylocomium splendens,64.895109,-148.450923
4022249002,Hylocomium splendens,64.880808,-148.391501
4022248898,Hylocomium splendens,64.876372,-148.382603
4022248893,Hylocomium splendens,64.875737,-148.382757
4022246472,Hylocomium splendens,50.131012,-119.348091
4022246413,Hylocomium splendens,46.792012,-66.476983
4022245446,Hylocomium splendens,46.723355,-65.98655
4022244373,Plagiomnium cuspidatum,41.301017,-76.273578
4022243642,Hylocomium splendens,64.882968,-148.396722
4022242802,Hylocomium splendens,64.882911,-148.3973
4022242718,Hylocomium splendens,64.89491,-148.450937
4022241710,Hylocomium splendens,64.88136,-148.393553
4022241366,Syntrichia ruralis,49.652852,-110.860223
4022240366,Hylocomium splendens,49.156744,-122.507949
4022240012,Hylocomium splendens,64.882911,-148.3973
4022239923,Hylocomium splendens,64.895344,-148.451976
4022239685,Hylocomium splendens,49.916598,-95.530867
4022239621,Hylocomium splendens,50.834068,-121.700211
4022239332,Syntrichia ruralis,35.181388,-106.56542
4022237902,Hylocomium splendens,64.876372,-148.382603
4022237715,Plagiomnium cuspidatum,42.925479,-73.251939
4022237601,Hylocomium splendens,51.221725,-121.476669
4022237483,Hylocomium splendens,45.586322,-64.971505
4022237208,Hylocomium splendens,64.895858,-148.453067
4022237078,Hylocomium splendens,64.882911,-148.3973
4022237077,Hylocomium splendens,64.881679,-148.391489
4022237076,Hylocomium splendens,64.875737,-148.382757
4022237072,Hylocomium splendens,64.882911,-148.3973
4022236738,Syntrichia ruralis,33.229031,-108.266405
4022236705,Hylocomium splendens,51.223831,-121.486794
4022234070,Hylocomium splendens,63.88795,-142.243806
4022234038,Hylocomium splendens,64.882884,-148.394912
4022231798,Hylocomium splendens,64.875737,-148.382757
4022231547,Hylocomium splendens,46.623345,-70.488945
4022231235,Hylocomium splendens,64.895694,-148.451675
4022231170,Hylocomium splendens,64.895934,-148.452662
4022231037,Hylocomium splendens,64.882911,-148.3973
4022231033,Hylocomium splendens,64.876026,-148.383174
4022231024,Hylocomium splendens,64.895934,-148.452662
4022230819,Hylocomium splendens,49.318008,-122.921109
4022229018,Hylocomium splendens,64.883184,-148.397778
4022229001,Hylocomium splendens,64.882692,-148.395041
4022228786,Hylocomium splendens,45.338979,-63.251444
4022226874,Hylocomium splendens,64.875695,-148.382259
4022226818,Hylocomium splendens,64.88137,-148.392246
4022226142,Hylocomium splendens,64.88335,-148.395643
4022226014,Polytrichum piliferum,52.932222,-119.38518
4022225899,Hylocomium splendens,44.414363,-122.318938
4022224265,Hylocomium splendens,64.883344,-148.397135
4022224261,Hylocomium splendens,64.895344,-148.451976
4022224183,Hylocomium splendens,64.895934,-148.452662
4022224040,Hylocomium splendens,64.876555,-148.383435
4022223318,Syntrichia ruralis,34.377083,-111.440247
4022223057,Hylocomium splendens,64.895219,-148.451535
4022222936,Hylocomium splendens,64.876372,-148.382603
4022222674,Hylocomium splendens,53.521644,-113.476148
4022221384,Plagiomnium cuspidatum,41.343202,-79.378257
4022221028,Hylocomium splendens,64.876555,-148.383435
4022221023,Polytrichum piliferum,41.887236,-71.533308
4022220960,Hylocomium splendens,64.880808,-148.391501
4022220873,Hylocomium splendens,64.88335,-148.395643
4022220871,Hylocomium splendens,64.88136,-148.393553
4022216958,Hylocomium splendens,64.895219,-148.451535
4022215342,Polytrichum piliferum,39.896036,-74.551222
4022215146,Hylocomium splendens,64.88136,-148.393553
4022215134,Hylocomium splendens,64.881387,-148.392841
4022214505,Syntrichia ruralis,50.01694,-96.878823
4022214092,Hylocomium splendens,64.875695,-148.382259
4022214029,Hylocomium splendens,64.876513,-148.382321
4022213927,Hylocomium splendens,64.89491,-148.450937
4022212167,Hylocomium splendens,64.88137,-148.392246
4022212135,Hylocomium splendens,64.882968,-148.396722
4022212121,Hylocomium splendens,64.89491,-148.450937
4022211676,Hylocomium splendens,44.821049,-64.198541
4022210992,Hylocomium splendens,64.881679,-148.391489
4022210708,Hylocomium splendens,44.858751,-64.066561
4022209132,Hylocomium splendens,64.876513,-148.382321
4022209021,Hylocomium splendens,64.895582,-148.452431
4022207397,Plagiomnium cuspidatum,39.880745,-86.300407
4022207181,Hylocomium splendens,64.895219,-148.451535
4022207133,Hylocomium splendens,64.89491,-148.450937
4022207130,Hylocomium splendens,64.88136,-148.393553
4022207021,Hylocomium splendens,64.89491,-148.450937
4022207020,Hylocomium splendens,64.876372,-148.382603
4022207008,Hylocomium splendens,64.876029,-148.382426
4022206482,Plagiomnium cuspidatum,39.87039,-86.128644
4022206022,Hylocomium splendens,64.876741,-148.382718
4022205349,Hylocomium splendens,48.931897,-66.17433
4022202844,Hylocomium splendens,48.878047,-122.121825
4022201456,Syntrichia ruralis,34.972061,-106.335114
4022201144,Hylocomium splendens,64.882893,-148.394868
4022201028,Hylocomium splendens,64.880808,-148.391501
4022201027,Hylocomium splendens,64.875695,-148.382259
4022201023,Hylocomium splendens,64.88335,-148.395643
4022200757,Hylocomium splendens,49.91661,-95.530883
4022200361,Plagiomnium cuspidatum,39.878831,-86.299821
4022199455,Syntrichia ruralis,36.042714,-107.309288
4022198446,Hylocomium splendens,49.554078,-122.612769
4022197151,Hylocomium splendens,64.876555,-148.383435
4022195100,Hylocomium splendens,64.876513,-148.382321
4022194097,Hylocomium splendens,64.895031,-148.451325
4022194034,Hylocomium splendens,64.895031,-148.451325
4022194027,Hylocomium splendens,64.883072,-148.397264
4022192842,Hylocomium splendens,64.876513,-148.382321
4022192781,Hylocomium splendens,64.895219,-148.451535
4022192677,Plagiomnium cuspidatum,41.299444,-88.23217
4022189743,Hylocomium splendens,68.639692,-149.567478
4022189566,Syntrichia ruralis,32.400419,-110.690008
4022189357,Syntrichia ruralis,49.006855,-113.457175
4022186497,Hylocomium splendens,64.882968,-148.396722
4022185538,Syntrichia ruralis,34.783222,-106.369492
4022183511,Hylocomium splendens,64.882911,-148.3973
4022183418,Syntrichia ruralis,53.13916,-117.104264
4022182267,Hylocomium splendens,64.883184,-148.397778
4022182263,Hylocomium splendens,64.895219,-148.451535
4022182200,Hylocomium splendens,64.895219,-148.451535
4022182193,Hylocomium splendens,64.876519,-148.382508
4022182174,Hylocomium splendens,64.895031,-148.451325
4022179522,Hylocomium splendens,64.895934,-148.452662
4022179333,Plagiomnium cuspidatum,39.019841,-84.565066
4022178688,Hylocomium splendens,64.883184,-148.397778
4022177510,Hylocomium splendens,64.895902,-148.452381
4022174463,Hylocomium splendens,45.964465,-64.957621
4022174304,Syntrichia ruralis,35.727662,-105.839813
4022172197,Hylocomium splendens,64.88137,-148.392246
4022172153,Hylocomium splendens,64.876372,-148.382603
4022171068,Hylocomium splendens,64.876513,-148.382321
4022170353,Polytrichum piliferum,43.083539,-72.364188
4022170260,Polytrichum piliferum,48.454737,-123.482972
4022169931,Hylocomium splendens,64.882911,-148.3973
4022166578,Hylocomium splendens,61.985539,-132.605162
4022164914,Hylocomium splendens,64.882911,-148.3973
4022164604,Hylocomium splendens,51.443844,-121.143127
4022164159,Hylocomium splendens,46.261859,-60.337411
4022164134,Hylocomium splendens,64.883344,-148.397135
4022164133,Hylocomium splendens,64.881679,-148.391489
4022163484,Syntrichia ruralis,50.741715,-96.545078
4022163191,Hylocomium splendens,64.876452,-148.38304
4022163158,Hylocomium splendens,64.876741,-148.382718
4022163127,Hylocomium splendens,64.882968,-148.396722
4022163115,Hylocomium splendens,64.876452,-148.38304
