gbifID,species,latitude,longitude
683958450,Cladonia rangiferina,64.855333,-147.819817
683958449,Cladonia pyxidata,63.7225,-148.9555
683958448,Cladonia pyxidata,64.826383,-147.75855
683958444,Cladonia pyxidata,64.865933,-147.8749
683957200,Trametes versicolor,64.863817,-147.737383
623702617,Peltigera rufescens,48.94115,-118.148417
623702616,Peltigera rufescens,48.835917,-117.282833
623702615,Peltigera rufescens,48.8023,-117.224833
623702614,Peltigera rufescens,48.981667,-117.261667
623702613,Peltigera rufescens,48.981667,-117.261667
623702580,Parmelia sulcata,63.533333,-150.7
623702564,Parmelia sulcata,48.94115,-118.148417
623702563,Parmelia sulcata,48.696567,-117.34985
623702562,Parmelia sulcata,48.927067,-117.308483
623702198,Cladonia rangiferina,64.808333,-163.733333
623702197,Cladonia stygia,63.533333,-150.7
623696924,Icmadophila ericetorum,49.0,-124.0
623696920,Icmadophila ericetorum,45.05694,-124.00361
623696919,Icmadophila ericetorum,43.8,-122.55833
623696918,Icmadophila ericetorum,43.609366,-122.121995
623696917,Icmadophila ericetorum,44.190554,-122.759589
623696916,Icmadophila ericetorum,44.216667,-122.216667
614994,Arctoparmelia centrifuga,47.666667,-80.383333
441891421,Sphaerophorus globosus,47.84111,-120.01528
441891220,Physconia detersa,46.05,-85.116667
441891219,Physconia detersa,37.166667,-93.333333
441891218,Physconia detersa,36.0,-96.333333
441890923,Peltigera rufescens,42.505556,-120.8
441890912,Peltigera rufescens,46.7315,-121.715167
441890840,Parmelia sulcata,68.866667,-151.866667
441890077,Cladonia sulphurina,48.983333,-121.233333
441890076,Cladonia sulphurina,48.833333,-121.833333
415717672,Cladonia rangiferina,46.896,-123.049
415717670,Cladonia rangiferina,46.896,-123.049
415717669,Cladonia rangiferina,46.896,-123.049
4022376377,Platismatia glauca,44.198057,-123.018636
4022371607,Parmelia sulcata,43.995245,-122.984095
4022371547,Trametes versicolor,38.036808,-122.80185
4022370313,Icmadophila ericetorum,45.509887,-123.652059
4022366652,Platismatia glauca,44.005751,-122.976206
4022363721,Trametes versicolor,41.483501,-87.532316
4022363332,Dibaeis baeomyces,42.462859,-71.157261
4022358719,Peltigera didactyla,44.045316,-123.074075
4022354543,Trametes versicolor,38.239855,-85.698332
4022351482,Trametes versicolor,40.804603,-73.959062
4022344829,Parmelia sulcata,48.491944,-123.34489
4022334930,Trametes versicolor,38.638389,-90.303656
4022333720,Icmadophila ericetorum,38.570938,-123.332823
4022330521,Trametes versicolor,40.875183,-124.074167
4022329761,Icmadophila ericetorum,49.112567,-125.863541
4022329574,Trametes versicolor,40.872563,-73.87144
4022326750,Trametes versicolor,41.307025,-88.94548
4022326103,Trametes versicolor,34.138583,-118.086022
4022320641,Trametes versicolor,45.448085,-122.507378
4022313655,Parmelia sulcata,44.942146,-79.705821
4022312439,Trametes versicolor,43.581504,-73.032032
4022311782,Trametes versicolor,38.336617,-85.635617
4022311739,Trametes versicolor,38.219324,-85.71291
4022308340,Trametes versicolor,40.06031,-75.433178
4022306730,Trametes versicolor,37.726438,-122.153878
4022303463,Trametes versicolor,45.324238,-75.799773
4022300946,Cladonia rangiferina,46.978303,-76.473594
4022291311,Peltigera didactyla,39.74072,-123.631097
4022286245,Dibaeis baeomyces,41.887583,-71.534092
4022285757,Trametes versicolor,40.349887,-123.991195
4022283601,Trametes versicolor,38.214365,-85.682264
4022278525,Trametes versicolor,35.962013,-91.172195
4022278519,Trametes versicolor,35.60621,-82.43409
4022273804,Trametes versicolor,36.609959,-121.932171
4022273247,Parmelia sulcata,43.696185,-80.246584
4022272787,Trametes versicolor,41.986622,-87.749537
4022268315,Trametes versicolor,43.277261,-86.219463
4022264823,Trametes versicolor,33.05082,-96.85018
4022263001,Trametes versicolor,38.711396,-85.538682
4022258655,Trametes versicolor,41.483501,-87.532316
4022257887,Parmelia sulcata,44.015421,-122.978474
4022248654,Trametes versicolor,39.906172,-75.989022
4022247755,Trametes versicolor,36.482947,-121.762047
4022246497,Trametes versicolor,37.955212,-122.576266
4022245747,Trametes versicolor,48.434892,-123.470742
4022245643,Trametes versicolor,36.494236,-121.151508
4022239738,Platismatia glauca,48.493802,-123.373626
4022238546,Platismatia glauca,44.001561,-122.945869
4022238386,Trametes versicolor,37.731645,-92.860101
4022232417,Trametes versicolor,38.280097,-85.554108
4022229901,Dibaeis baeomyces,46.169651,-60.088825
4022229621,Trametes versicolor,38.440113,-82.694625
4022228953,Trametes versicolor,40.864804,-73.878245
4022228670,Trametes versicolor,38.935654,-76.987596
4022226899,Trametes versicolor,37.341847,-122.149353
4022225873,Trametes versicolor,40.438585,-80.40241
4022225319,Trametes versicolor,39.297127,-86.722298
4022224366,Trametes versicolor,44.890467,-93.178786
4022222334,Trametes versicolor,40.122698,-88.210357
4022221473,Trametes versicolor,41.909578,-88.38122
